"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"quaestiones on the posterior analytics","W4941","A4280"
"diaeta theodori","W4928","A3493"
"epistula de iure civitatis orcistenorum","W4470","A3711"
"de natura generis humani","W4351","A3477"
"gynaecia","W4307","A3477"
"epistulae","W4273","A3125"
"breviloqium","W4074","A5675"
"de miseria condicionis humane","W4050","A3388"
"annales","W3821","A3381"
"fragmenta?","W3837","A3496"
"ars dictandi","W3758","A4280"
"de litteris et notis juris / de casis littera","W3781","A5667"
"de dictamine","W3620","A5678"
"sermo in sanctam scholaticam","W3626","A5678"
"pantomimi","W3629","A3690"
"ars palaemonis de metrica institutione","W3608","A5577"
"nereus","W3510","A3130"
"commentarii","W2974","A3123"
"iurisprudentia","W2941","A3116"
"historiae","W2949","A3147"
"iurisprudentia","W2815","A3897"
"quaestiones","W2456","A5669"
"aulularia","W2455","A3455"
"belli carthaginiensis","W2463","A3667"
"fragmenta","W2434","A3142"
"susanna","W1983","A4075"
"historia","W1952","A5672"
"chronologia sive libellus de mundi duratione","W1881","A5639"
"expositum de die paschae et mensis","W1852","A5639"
"de ponderibus et mensuris","W1869","A3137"
"declamationes in catilinam","W1627","A3299"
"praeceptum ad episcopos post bellum gothicum","W1532","A5681"
"panegyricus genethliacus maximiano augusto dictus","W1525","A3505"
"acta archelai","W1256","A3143"
"pro insipiente","W890","A3121"
"ludite","W882","A5679"
"aluta","W752","A3927"
"euripidis cyclops","W731","A3133"
"edictum tolerationis","W466","A5670"
"notae tironianae","W269","A3550"
"secreti secretorum","W22","A3548"
"oeconomica","W1","A3548"
"panegyricus maximiano augusto dictus","W5269","A3505"
"epitome altera","W5363","A3477"
"oratio","W1906","A5672"
"epistulae","W2785","A5015"
"kalendarium anno cccliv conscriptum","W4921","A4898"
"de pedibus","W3925","A5040"
"sanctae brigidae virginis vita a cogitoso adornata","W3664","A5263"
"oratio in gymnasio in ingelstadio publice recitata","W3584","A4753"
"de gratia","W3475","A5243"
"concilium romanum ii (ad 0495)","W3403","A5211"
"concilium romanum i decreta","W3399","A5211"
"concilium romanum i (ad 0494)","W3395","A5211"
"somnium scipionem","W3083","A5129"
"scripta quae exstant","W3032","A5189"
"de consulatu suo","W3104","A5129"
