"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"praefatio in libris salomonis de graeco emendatis","W977","A5096"
"praefatio in libro didymi alexandrini de spiritu sancto","W986","A5096"
"praefatio in libro ezrae","W993","A5096"
"praefatio in libro iosue","W954","A5096"
"praefatio in libro paralipomenon de graeco emendato","W972","A5096"
"praefatio in libro psalmorum iuxta hebraeos","W981","A5096"
"praefatio in origenis homiliis ii in canticum","W990","A5096"
"praefatio in victorini poetouionensis commentariis in apocalypsim iohannis","W978","A5096"
"prologus duodecim prophetarum","W987","A5096"
"prologus in libro iob de graeco emendato","W975","A5096"
"prologus in libro iob de hebraeo translato","W984","A5096"
"prologus in libro paralipomenon de hebraeo translato","W994","A5096"
"prologus in libro regum","W955","A5096"
"prologus in pentateucho","W973","A5096"
"prologus iudith","W982","A5096"
"prologus tobiae","W991","A5096"
"regula s. pachomii","W979","A5096"
"sermo de die epiphaniorum et de psalmo xxviii","W988","A5096"
"tractatus lix in psalmos","W976","A5096"
"tractatuum in psalmos series altera","W985","A5096"
"victorini poetouionensis commentarii in apocalypsim iohannis capitula retractata (apc. 20  - 21)","W995","A5096"
"vita malchi","W957","A5096"
"vita malchi monachi captivi","W974","A5096"
"vita s. hilaronis eremitae","W983","A5096"
"vita s. paul primi eremitae","W992","A5096"
"vita sancti pauli","W952","A5096"
"praefatio in eusebii caesariensis chronicon","W996","A5096"
"epistulae ad eucherium","W3476","A5137"
"metrum in genesim ad leonem papam","W3483","A5137"
"praefatio in pachomiana latina","W5118","A5096"
"regula monachorum","W5117","A5096"
"expositio quatuor evangeliorum [incertus]","W5255","A5096"
"in psalmum xxxxi, ad neophytos","W5256","A5096"
"in hieremiam prophetam libri vi","W970","A5096"
"praecepta et judicia s. pachomii","W971","A5096"
"contra iohannem","W1003","A5096"
"contra vigilantium","W1013","A5096"
"de decem tentationibus populi israel in deserto","W1050","A5096"
"de exodo, in uigilia paschae","W1021","A5096"
"de formis hebraicarum litterarum","W1000","A5096"
"de uiris illustribus","W1018","A5096"
"de vitis apostolorum","W997","A5096"
"dialogi contra pelagianos libri iii","W1007","A5096"
"epistola ad desiderium de duodecim doctoribus","W1015","A5096"
"epistula ad praesidium","W1024","A5096"
"epistulae","W1004","A5096"
"eusebii caesariensis chronicon: hieronymi continuatio","W1014","A5096"
"homilia de natiuitate domini","W1022","A5096"
"homilia in euangelium secundum matthaeum","W1001","A5096"
"homiliae in cantica canticorum","W1019","A5096"
"homiliae novem in visiones iesaiae","W998","A5096"
"in die dominica paschae, i","W1016","A5096"
"in die dominica paschae, ii","W1025","A5096"
"instituta s. pachomi","W1023","A5096"
"interpretatio homiliarum duarum origenis in canticum, ad damasum papam","W1002","A5096"
"liber comitis","W1012","A5096"
"liber de perpetua virginitate b. mariae","W1049","A5096"
"liber interpretationis hebraicorum nominum","W1020","A5096"
"liber nominum graecorum ex actis","W999","A5096"
"monita s. pachomii","W1017","A5096"
"pp. pachomii et theodori epistolae et verba mystica","W1026","A5096"
"praecepta ac leges s. pachomii","W1006","A5096"
"de benedictionibus jacob patriarchae","W1041","A5096"
"de nominibus hebraicis","W1010","A5096"
"de persecutione christianorum","W1037","A5096"
"de situ et nominibus locorum hebraicorum","W1047","A5096"
"didymi de spiritu sancto","W1034","A5096"
"epistola ad constantinum [incertus]","W1044","A5096"
"expositio interlinearis in librum job","W1042","A5096"
"homilia in iohannem euangelistam","W1011","A5096"
"homilia in lucam, de lazaro et diuite","W1039","A5096"
"homilia in monachos","W1048","A5096"
"homiliae origenis xxviii","W1008","A5096"
"homiliae xiv in ezechielem","W1035","A5096"
"homiliae xiv in jeremiam","W1045","A5096"
"in esaia paruula adbreuiatio","W1005","A5096"
"in lamentationes jeremiae","W1043","A5096"
"liber de expositione psalmorum","W1040","A5096"
"liber quaestionum hebraicarum in genesim","W1009","A5096"
"liber tertius aduersus libros rufini","W1036","A5096"
"martyrologium","W1046","A5096"
"commentaria in amos","W1052","A5096"
"commentaria in xii prophetas minoras","W1053","A5096"
"commentaria in zachariam","W1056","A5096"
"commentarii in iv epistulas paulinas","W1054","A5096"
"altercatio luciferiani et orthodoxi","W5259","A5096"
"commentaria in aggaeum","W5257","A5096"
"commentaria in malachiam","W5258","A5096"
"de excidio britanniae liber querolus","W5232","A5206"
"oratio pro itineris et navigii prosperitate","W476","A5206"
"commentaria in epistolam ad titum","W1051","A5096"
"commentaria in abacuc","W1059","A5096"
"commentaria in epistolam ad ephesios","W1058","A5096"
"commentarius in ecclesiasten","W1075","A5096"
"aduersus heluidium de mariae uirginitate perpetua","W1062","A5096"
"canones poenitentiales","W1084","A5096"
"commentaria in canticum debborae","W1083","A5096"
"commentaria in epistolam ad galatas","W1065","A5096"
"commentaria in epistolam ad philemonem.","W1073","A5096"
"commentaria in joelem","W1086","A5096"
"commentaria in jonam","W1063","A5096"
"commentaria in naum","W1085","A5096"
"commentaria in osee","W1061","A5096"
"commentaria in pauli epistolas","W1072","A5096"
"commentaria in sophoniam","W1077","A5096"
"commentarii in euangelium matthaei","W1068","A5096"
"commentarii in ezechielem","W1076","A5096"
"commentarii in isaiam","W1080","A5096"
"commentarii in prophetas minores","W1088","A5096"
"commentarioli in psalmos","W1066","A5096"
"commentarius in evangelium secundum marcum [incertus]","W1078","A5096"
"aduersus iouinianum","W1069","A5096"
"apologia aduersus libros rufini","W1110","A5096"
"commentaria in abdiam","W1067","A5096"
"commentaria in jeremiam","W1112","A5096"
"commentaria in librum job","W1070","A5096"
"commentaria in michaeam","W1111","A5096"
"commentarii in danielem","W1091","A5096"
"de cursu gallicano disquisitio","W3744","A5235"
"de liturgia gallicana libri tres","W3779","A5235"
"epistola ad brunichildem reginam","W3757","A5235"
"sacrae scripturae lectiones","W3777","A5235"
"expositio brevis antiquae liturgiae gallicanae","W3764","A5235"
"probationes quasdam liturgiae gallicanae","W3791","A5235"
"vita","W3783","A5235"
"miraculorum libri duo","W4325","A5257"
"passio sanctorum martyrum septem dormientum apud ephesum translata in latinum","W4329","A5257"
"prosa de sancto martino","W4333","A5257"
"liber vitae patrum","W4375","A5257"
"vita sancti ardii abbatis","W4367","A5257"
"privilegium monasterii sancti germani","W4942","A5235"
"de cursu stellarum ratio","W4354","A5257"
"carmina","W247","A5195"
"dicta et apophthegmata","W225","A5195"
"opera historica","W245","A5195"
"de scriptoribus ecclesiasticis. testimonia","W5354","A5220"
"epistulae","W236","A5195"
"fragmenta incertae sedis","W240","A5195"
"edicta","W289","A5195"
"res gestae","W287","A5195"
"euangeliorum libri iv","W611","A5223"
"de laudibus domini","W638","A5223"
"triumphus christi heroicus","W656","A5223"
"epistulae","W2580","A5219"
"in natale domini de duplici natiuitate christi","W2576","A5219"
"liber de trinitate ad felicem","W2574","A5219"
"sermo dubius i: 'temporalis secundum carnem'","W2571","A5219"
"fidei catholicae instrumenta [excerpta]","W2597","A5219"
"fragmenta iv ex opusculis ad eugippium presbyterum contra sermonem cuiusdam pelagiani directis","W2560","A5219"
"fulgentii ut fingitur planciadis super thebaiden commentariolum","W2568","A5219"
"liber ad scarilam de incarnatione filii dei et uilium animalium auctore","W2607","A5219"
"liber de praedestinatione et gratia","W2567","A5219"
"psalmus abecedarius","W2603","A5219"
"sermo de eo quod ait michaeas propheta: 'indicabo tibi homo quid sit bonum'","W2563","A5219"
"sermones duo hactenus inediti","W2599","A5219"
"fragmenta de spiritu sancto","W2611","A5219"
"in sequentes homilias sive sermones praefatio","W2595","A5219"
"liber ad uictorem contra sermonem fastidiosi ariani","W2619","A5219"
"pro fide catholica adversus pintam episcopum arianum liber unus","W2593","A5219"
"sermo 'eleemosynam uero nouimus'","W2617","A5219"
"sermo dubius ii: 'incarnationis diuinae mysterium'","W2581","A5219"
"super thebaiden","W2613","A5219"
"canones gelasio ascripti","W3369","A5211"
"epistolae et decreta","W3374","A5211"
"aduersus omnes haereses","W4041","A5220"
"liber de scriptoribus ecclesiasticis","W4058","A5220"
"liber de passione et virtutibus iuliani","W4326","A5257"
"tractatus xxi","W4286","A5232"
"de miraculis s. martini","W4327","A5257"
"fragmenta commentarii in psalmos","W4332","A5257"
"liber de miraculis andreae apostoli","W4379","A5257"
"liber de virtutibus martini","W4330","A5257"
"liber in gloria confessorum","W4339","A5257"
"in psalterii tractatum commentarius","W4372","A5257"
"liber in gloria martyrum","W4369","A5257"
"historiarum libri x","W4924","A5257"
"liber siue diffinitio ecclesiasticorum dogmatum","W4932","A5220"
"fragmenta","W4960","A5211"
"de uiris illustribus","W3985","A5220"
"liber in genesin","W675","A5223"
"orationes","W221","A5195"
"sympsis chronica annorum viii","W4968","A5511"
"de epiphania domini","W2618","A5219"
"de fide contra manicheos","W5339","A5252"
"epistula ii ad plebem vercellensem, nouariensem, eporediensem","W263","A5384"
"epistula iii ad gregorium illiberitanum","W273","A5384"
"epistula i ad constantium","W293","A5384"
"historia ecclesiastica","W1038","A5343"
"panegyricus constantino augusto dictus","W1228","A5368"
"panegyricus constantino caesari dictus","W1232","A5368"
"epistulae","W1222","A5379"
"gratiarum actio constantino augusto flaviensium nomine","W1270","A5368"
"de decretis eutychiano adscriptis","W2351","A5342"
"epistola et decreta dubia","W2356","A5342"
"constitutum de ecclesia rauennatensi","W2422","A5292"
"epistula ad caesarium episcopum","W2432","A5292"
"ad felicem notarium de trinitate liber unus","W2572","A5219"
"de caritate dei ac proximi","W2578","A5219"
"de incarnatione filii dei et vilium animalium auctore ad scarilam","W2573","A5219"
"epistula xix seu sermo excerptus de epistula ad faustinum","W2570","A5219"
"ad euthymium de remissione peccatorum libri ii","W2565","A5219"
"ad trasamundum libri iii","W2600","A5219"
"contra fabianum fragmenta","W2561","A5219"
"contra sermonem fastidiosi ariani ad victorem liber unus","W2569","A5219"
"de dispensatoribus domini","W2596","A5219"
"de epiphania deque innocentum nece et muneribus magorum","W2610","A5219"
"de fide ad petrum seu de regula fidei","W2566","A5219"
"de sancto stephano protomartyre et de conuersione sancti pauli","W2601","A5219"
"dicta regis trasamundi et contra ea responsionum liber unus","W2562","A5219"
"ad monimum libri iii","W2583","A5219"
"contra arianos libri duo","W2615","A5219"
"de remissione peccatorum ad euthymium libri duo","W2592","A5219"
"de ueritate praedestinationis et gratiae libri iii ad iohannem et venerium","W2616","A5219"
"pro defensione trium capitulorum libri xii","W3312","A5511"
"liber contra mocianum scholasticum","W3367","A5511"
"epistula fidei catholicae in defensione trium capitulorum","W3364","A5511"
"de ratione fidei","W3458","A5243"
"sermones","W3482","A5243"
"de gratia libri duo","W3488","A5243"
"breuiarium ab urbe condita","W3562","A5295"
"de spiritu sancto libri duo","W3523","A5243"
"epistulae","W3501","A5243"
"de vita christiana liber unus","W4082","A5296"
"epistula ad nicetium papam","W4112","A5269"
"in laudem iustini augusti minoris","W4502","A5247"
"iohannis seu de bellis lybicis","W4507","A5247"
"regula ad monachos","W5035","A5272"
"pro restaraundis scolis","W5098","A5368"
"de trinitate libelli septem","W5190","A5384"
"exhortatio ad presbyteros","W2364","A5342"
"panegyricus theodorico regi dictus","W5295","A5313"
"carmina","W5294","A5313"
"vita antonii monachi lirinensis","W5293","A5313"
"de laude heremi","W5231","A5383"
"epistola ad philonem presbyterum suum [incertus]","W454","A5383"
"exhortatio ad monachos","W449","A5383"
"formulae spiritalis intellegentiae","W452","A5383"
"homiliae quaedam","W487","A5383"
"passio acaunensium martyrum","W470","A5383"
"epistola paraenetica ad valerianum cognatum","W504","A5383"
"epistula ad salvium","W496","A5383"
"epitomes operum cassiani ad castorem aptensem libri duo","W471","A5383"
"instructionum ad salonium libri ii","W495","A5383"
"de mensuris et ponderibus quae latine exstant","W1756","A5322"
"liber de xii gemmis rationalis summi sacerdotis hebraeorum epitoma latina","W1758","A5322"
"vita sanctae mariae meretricis","W1850","A5288"
"vita sancti abrahae","W1862","A5288"
"epigrammata","W2381","A5313"
"libellus adversus eos qui contra synodum scribere praesumpserunt","W2377","A5313"
"benedictio cerei ii","W2373","A5313"
"dictio in natali laurentii mediolanensis episcopi","W2411","A5313"
"dictiones","W2368","A5313"
"ennodius ambrosio et beato","W2372","A5313"
"epistulae","W2401","A5313"
"epithalamium","W2409","A5313"
"praeceptum de cellulanis","W2370","A5313"
"praeceptum quando iussi sunt omnes episcopi cellulanos habere","W2374","A5313"
"vita epiphanii","W2402","A5313"
"benedictio cerei i","W2369","A5313"
"de vita beati antoni monachi","W2404","A5313"
"eucharisticum de vita sua","W2414","A5313"
"hymni","W2371","A5313"
"paraenesis didascalica","W2405","A5313"
"petitorium quo absolutus est gerontius puer agapiti","W2412","A5313"
"excerpta ex operibus s. augustini","W2802","A5341"
"regula","W2828","A5341"
"epistula ad probam virginem","W2817","A5341"
"commemoratorium de uita sancti seuerini","W2843","A5341"
"vita severini","W2834","A5341"
"vita sancti marii","W4284","A5290"
"vita sancti maximi","W4320","A5290"
"epigrammata","W5350","A5325"
"technopaegnion","W5245","A5314"
"versus ad lectorem","W5246","A5314"
"liber de spiritu sancto","W593","A5329"
"de herediolo","W679","A5314"
"parentalia","W680","A5314"
"precationes","W709","A5314"
"bissula","W682","A5314"
"cento nuptialis","W692","A5314"
"de xii caesaribus","W690","A5314"
"eclogarum liber","W696","A5314"
"epigrammata","W703","A5314"
"epistulae","W687","A5314"
"epitaphia heroum qui bello troico interfuerunt","W695","A5314"
"in notarium","W683","A5314"
"ludus septem sapientium","W693","A5314"
"mosella","W706","A5314"
"versus ad theodosium augustum","W736","A5314"
"versus paschales","W714","A5314"
"protrepticus ad nepotem","W715","A5314"
"griphus ternarii numeri","W5146","A5314"
"genethliacon ad ausonium nepotem","W5133","A5314"
"epicedion in patrem","W5142","A5314"
"cupido cruciatus","W5136","A5314"
"periochae homeri odyssiae","W732","A5314"
"versus ad syagrium","W729","A5314"
"periochae homeri iliadis","W753","A5314"
"saturae","W1272","A5304"
"interpres dictyos cretensis","W2794","A5311"
"concilium romanum in causa dionysii alexandrini de sabellanismo accustati","W2777","A5345"
"epistola i 'adversus sabellianos' [fragmentum]","W2751","A5345"
"testimoniorum libri tres adversus judaeos  (ad quirinum)","W3617","A5298"
"addenda","W3867","A5325"
"carmina inedita","W3872","A5325"
"de explanatione fidei","W3857","A5325"
"diatribae duae","W3864","A5325"
"epistolae","W3877","A5325"
"epistolae ii dionysii episcopi ad ss dionysium","W3846","A5308"
"carmina vol. i","W3882","A5325"
"carmina vol. ii","W3890","A5325"
"opera apocrypha","W3887","A5325"
"epistolae duae","W4276","A5290"
"ephemeris belli troiani ex graeco in latinum sermonem uersa atque retractata","W4991","A5311"
"commemoratio professorum burdigalensium","W5130","A5314"
"ephemeris","W5134","A5314"
"gratiarum actio ad gratianum imperatorem","W5140","A5314"
"oratio consulis ausonii uersibus rhopalicis","W5138","A5314"
"de fastis","W5144","A5314"
"ordo urbium nobilium","W5145","A5314"
"epistula ad macedonium","W5341","A5260"
"de duobus populis","W1539","A5248"
"de saeculi istius fine","W1529","A5248"
"instructiones","W1531","A5248"
"aenigmata seu centum epigrammata tristicha aenigmatica","W1757","A5294"
"scripta [falso attributa]","W2040","A5246"
"dicta","W2066","A5246"
"in evangelium sancti matthaei","W2036","A5246"
"ad s. cornelium appendices","W2350","A5268"
"notitia","W2361","A5268"
"epistolae","W2354","A5268"
"carmina","W2720","A5261"
"de statu animae","W2727","A5261"
"epistulae","W2752","A5261"
"hymnus de passione domini","W2759","A5261"
"opus paschale","W3509","A5260"
"carmina ad sedulium spectantia","W3505","A5260"
"epigramma","W3548","A5260"
"hymnus ii","W3503","A5260"
"carmen paschale","W3525","A5260"
"hymnus i","W3524","A5260"
"decretum de libris recipiendis et non recipiendis","W3555","A5260"
"ad demetrianum","W3638","A5298"
"concilium iconiense contra cataphrygas","W3636","A5298"
"de dominica oratione","W3586","A5298"
"ad donatum","W3642","A5298"
"carmen de resurrectione mortuorum","W3658","A5298"
"de bono patientiae","W3641","A5298"
"de habitu uirginum","W3659","A5298"
"de zelo et liuore","W3648","A5298"
"epistula ad siluanum et donatianum","W3645","A5298"
"de exhortatione martyrii (ad fortunatum)","W3656","A5298"
"de idolorum vanitate liber","W3688","A5298"
"de lapsis","W3695","A5298"
"de opere et eleemosynis","W3666","A5298"
"epistola ad jovianum","W3671","A5298"
"epistola s. cypriani ad magnum","W3677","A5298"
"liber de oratione dominica","W3676","A5298"
"quod idola dii non sint","W3682","A5298"
"ad quirinum","W3653","A5298"
"de mortalitate","W3687","A5298"
"epistola s. cypriani ad quintum","W3690","A5298"
"sententiae episcoporum","W3689","A5298"
"epistulae","W3722","A5298"
"de ecclesiae catholicae unitate","W4949","A5298"
"ad fortunatum","W4947","A5298"
"tractatus singularis seu sermo de octo beatitudinibus","W5033","A5246"
"carmen apologeticum","W5079","A5248"
"epistola s. cypriani ad pompeium contra epistolam stephani","W3685","A5298"
"epistola ad felicem episcopum","W2516","A5409"
"de musica fragmentum","W610","A5390"
"de medicina","W307","A5412"
"epistolae","W20","A5405"
"regula ad monachos","W18","A5405"
"vita operaque [firmino et viventio episcopis]","W17","A5405"
"epistola ad quosdam germanos","W21","A5405"
"opusculum de viduitate servanda","W19","A5405"
"de canonibus observandis","W34","A5405"
"epistola 'de decem virginibus'","W33","A5405"
"homilia","W31","A5405"
"sermones ex integro a caesario compositi uel ex aliis fontibus hausti","W30","A5405"
"testamentum","W29","A5405"
"epistolae et decreta","W264","A5381"
"epistolae sancto bonifacio attributae","W274","A5381"
"de die natali liber","W658","A5390"
"de metris fragmentum","W665","A5390"
"homiliarum viii basilii magni interpretatio latina","W1237","A5350"
"regula","W1242","A5350"
"epistulae quinque","W1257","A5350"
"epistolae","W1934","A5393"
"liber de reparatione lapsi","W1905","A5365"
"epistola ad david episcopum","W2057","A5354"
"fragmentum epistolae ad grandensem patriarcham","W2064","A5354"
"de decreto unico quo caio adscribitur","W2509","A5409"
"e parmenide de natura","W4338","A5373"
"acutae passiones","W4359","A5373"
"medicinales responsiones","W4355","A5373"
"tardae passiones","W4361","A5373"
"de speciali significatione diaeticarum passionum","W4364","A5373"
"fragmenta de gynaecia sorani","W4345","A5373"
"constitutio de abolendis reliquis idolatriae","W4436","A5427"
"fragmenta","W4501","A5395"
"hexaëmeron creationis mundi","W4478","A5395"
"de origine rosarum","W4494","A5395"
"satisfactio","W4490","A5395"
"de mensibus","W4517","A5395"
"romulea","W4513","A5395"
"de laudibus dei libri iii","W4918","A5395"
"orestis tragoedia","W4917","A5395"
"gynaeciorum sorani e graeco uersorum et retractatorum quae exstant","W4922","A5373"
"professio fidei","W5036","A5365"
"contra maximinum arianum libellus","W5172","A5375"
"appendix ad opera s. caesarii","W5220","A5405"
"concilium arausicanum ii. de gratia et libero arbitrio","W5209","A5405"
"epistula ad ruricium lemouicensem","W5206","A5405"
"regula ad virgines","W5221","A5405"
"sermo ad sanctimoniales","W5210","A5405"
"expositio in apocalypsim","W32","A5405"
"epistulae quattuor","W5278","A5499"
"epistula ad episcopos numidiae et mauritaniae","W5261","A5353"
"epistula ad arbogastem","W152","A5358"
"de uirginibus","W557","A5347"
"epistulae extra collectionem traditae","W555","A5347"
"explanatio symboli","W539","A5347"
"hymni sancti ambrosio attributi (dub.)","W554","A5347"
"de paradiso","W574","A5347"
"de sacramentis","W541","A5347"
"de uiduis","W572","A5347"
"de uirginitate","W538","A5347"
"exhortatio uirginitatis","W545","A5347"
"expositio euangelii secundum lucam","W567","A5347"
"expositio psalmi cxviii","W569","A5347"
"de patriarchis","W559","A5347"
"hymni","W570","A5347"
"epistola ad damasum papam","W1195","A5353"
"synodica aurelii carthaginensis episcopi","W1191","A5353"
"epistola ad omnes episcopos","W1246","A5353"
"epistula concilii carthaginensis ad bonifatium papam","W1201","A5353"
"epistula ad caelestinum papam","W1254","A5353"
"contra eutychianam haeresim libri ii","W1820","A5499"
"feria tertia in rogationibus","W1849","A5499"
"fragmenta alia [ex gregorii turonensis libro ii]","W1823","A5499"
"homilia de rogationibus","W1831","A5499"
"sententia ad colossenses","W1814","A5499"
"sententia ad corinthios secunda","W1821","A5499"
"sententia ad ephesios","W1830","A5499"
"sententia ad thessalonicenses primae","W1819","A5499"
"collatio episcoporum coram rege gundebaldo adversos arianos","W1846","A5499"
"de divinitate spiritus sancti [fragmenta]","W1829","A5499"
"dialogi cum gundobado rege","W1835","A5499"
"epistulae","W1841","A5499"
"poematum libri vi","W1838","A5499"
"sententia ad corinthios prima","W1848","A5499"
"sententia ad galatas","W1837","A5499"
"sententia ad hebraeos","W1843","A5499"
"sententia ad philippenses","W1845","A5499"
"sententia ad timotheum primae","W1826","A5499"
"sententia ad timotheum secundae","W1834","A5499"
"sententiae ex epistola beati pauli","W1840","A5499"
"de officiis","W5151","A5347"
"de spiritu sancto","W5149","A5347"
"de paenitentia","W5158","A5347"
"de tobia","W5156","A5347"
"epigrammata","W5165","A5347"
"epistulae","W5154","A5347"
"explanatio psalmorum xii","W5152","A5347"
"epistulae ad concilium aquileiense pertinentes","W5161","A5347"
"exameron","W565","A5347"
"de agricultura","W2746","A5349"
"de rhetorica","W2731","A5349"
"regula tertia uel praeceptum","W2212","A5497"
"retractationum libri duo","W2221","A5497"
"sermo de responsorio psalmi: 'da nobis auxilium de tribulatione'","W2218","A5497"
"sermones suppositi","W2125","A5497"
"sermones suppositi. classis i. de vetero et novo testamento","W2217","A5497"
"speculum","W2214","A5497"
"versus de sancto nabore","W2223","A5497"
"epistola ad theodebertum regem [excerpta]","W5391","A5501"
"de fuga saeculi","W558","A5347"
"de interpellatione iob et dauid","W556","A5347"
"de ioseph","W537","A5347"
"de abraham","W575","A5347"
"de bono mortis","W542","A5347"
"de fide libri v","W573","A5347"
"de helia et ieiunio","W540","A5347"
"de institutione uirginis et sanctae mariae uirginitate perpetua ad eusebium","W571","A5347"
"de noe","W576","A5347"
"de obitu valentiniani","W544","A5347"
"de apologia dauid ad theodosium augustum","W563","A5347"
"de obitu theodosii","W564","A5347"
"regula ad virgines","W1794","A5501"
"sermones suppositi. classis ii. de tempore","W2227","A5497"
"sermones suppositi. classis iii. de sanctis","W2182","A5497"
"sermones suppositi. classis iiii. de diversis","W5027","A5497"
"quaestionum in heptateuchum libri septem","W2204","A5497"
"sermo de prouidentia dei","W2209","A5497"
"quaestiones euangeliorum","W2179","A5497"
"sermo ad caesariensis ecclesiae plebem","W2174","A5497"
"sermo de symbolo","W2171","A5497"
"versus in mensa","W2176","A5497"
"psalmus contra partem donati","W2225","A5497"
"sermo de passione domini","W2201","A5497"
"sermones nouissimi","W2200","A5497"
"soliloquiorum libri duo","W2206","A5497"
"de medicina","W2724","A5349"
"noctes atticae","W2735","A5356"
"sermo contra pelagium","W5022","A5497"
"sermones","W5019","A5497"
"quaestiones xvi in matthaeum","W5025","A5497"
"regula ad monachos","W5052","A5501"
"de cain et abel","W5150","A5347"
"de excessu fratris satyri","W5157","A5347"
"de iacob et uita beata","W5148","A5347"
"de incarnationis dominicae sacramento","W5155","A5347"
"de isaac uel anima","W5164","A5347"
"de mysteriis","W5153","A5347"
"apologia dauid altera","W5159","A5347"
"de nabuthae","W5160","A5347"
"de moribus ecclesiae catholicae et de moribus manichaeorum","W2220","A5497"
"de urbis excidio","W5290","A5497"
"de fide rerum inuisibilium","W2208","A5497"
"de immortalitate animae","W2175","A5497"
"de musica","W2168","A5497"
"de natura et origine animae","W2207","A5497"
"de genesi contra manichaeos","W2181","A5497"
"de octo quaestionibus ex ueteri testamento","W2178","A5497"
"de genesi ad litteram imperfectus liber","W2216","A5497"
"de genesi ad litteram libri duodecim","W2226","A5497"
"de gratia christi et de peccato originali","W2205","A5497"
"de gratia et libero arbitrio","W2213","A5497"
"de magistro","W2203","A5497"
"de mendacio","W2211","A5497"
"de natura et gratia","W2199","A5497"
"de nuptiis et concupiscentia","W2215","A5497"
"de octo dulcitii quaestionibus","W2224","A5497"
"de praedestinatione sanctorum","W2234","A5497"
"de trinitate","W2237","A5497"
"de utilitate ieiunii","W2236","A5497"
"epistulae nuper in lucem prolatae","W2235","A5497"
"in iohannis euangelium tractatus","W2232","A5497"
"principia rhetorices","W2270","A5497"
"de patientia","W2265","A5497"
"de peccatorum meritis et remissione et de baptismo paruulorum","W2275","A5497"
"de perfectione iustitiae hominis","W2254","A5497"
"de quantitate animae","W2239","A5497"
"de sancta uirginitate","W2262","A5497"
"de sermone domini in monte","W2272","A5497"
"de spiritu et littera","W2251","A5497"
"de symbolo ad catechumenos","W2260","A5497"
"de uera religione","W2243","A5497"
"de unico baptismo","W2269","A5497"
"de utilitate credendi","W2258","A5497"
"enarrationes in psalmos","W2242","A5497"
"enchiridion de fide, spe, et caritate","W2267","A5497"
"epistulae","W2277","A5497"
"epistulae ad romanos, inchoata expositio","W2256","A5497"
"expositio epistulae ad galatas","W2240","A5497"
"expositio quarundam propositionum ex epistula ad romanos","W2264","A5497"
"gesta cum emerito","W2273","A5497"
"in iohannis epistulam ad parthos tractatus","W2252","A5497"
"laus cerei","W2238","A5497"
"locutionum in heptateuchum libri septem","W2244","A5497"
"de ordine","W2241","A5497"
"de natura boni","W5020","A5497"
"de gestis pelagii","W5026","A5497"
"de libero arbitrio","W5023","A5497"
"de opere monachorum","W5024","A5497"
"de haeresibus","W2222","A5497"
"contra mendacium","W2285","A5497"
"de agone christiano","W2284","A5497"
"de catechizandis rudibus","W2280","A5497"
"de cura pro mortuis gerenda","W2279","A5497"
"de dialectica","W2286","A5497"
"de doctrina christiana","W2281","A5497"
"contra epistulam parmeniani","W2231","A5497"
"confessionum libri tredecim","W5289","A5497"
"contra donatistas","W5288","A5497"
"contra aduersarium legis et prophetarum","W2233","A5497"
"ars breuiata","W2229","A5497"
"breuiculus collationis cum donatistis","W2261","A5497"
"contra adimantum","W2228","A5497"
"contra cresconium","W2268","A5497"
"contra faustum","W2266","A5497"
"contra iulianum","W2230","A5497"
"contra iulianum opus imperfectum","W2263","A5497"
"collatio cum maximino","W2271","A5497"
"contra epistulam manichaei quam uocant fundamenti","W2247","A5497"
"contra priscillianistas et origenistas","W2293","A5497"
"de baptismo","W2292","A5497"
"de consensu euangelistarum","W2296","A5497"
"de disciplina christiana","W2294","A5497"
"de dono perseuerantiae","W2289","A5497"
"de duabus animabus","W2299","A5497"
"adnotationes in iob","W2253","A5497"
"aduersus iudaeos","W2245","A5497"
"contra academicos","W2259","A5497"
"contra duas epistulas pelagianorum","W2257","A5497"
"contra fortunatum","W2255","A5497"
"contra gaudentium","W2246","A5497"
"contra secundinum","W2303","A5497"
"de beata uita","W2301","A5497"
"de civitate dei","W2288","A5497"
"de diuersis quaestionibus ad simplicianum","W2302","A5497"
"de fide et symbolo","W2295","A5497"
"ad catholicos de secta donatistarum","W2274","A5497"
"contra felicem","W2276","A5497"
"contra maximinum","W2312","A5497"
"de adulterinis coniugiis","W2309","A5497"
"de bono coniugali","W2329","A5497"
"de continentia","W2326","A5497"
"de diuinatione daemonum","W2308","A5497"
"de fide et operibus","W2287","A5497"
"contra litteras petiliani","W2334","A5497"
"contra sermonem arianorum","W2333","A5497"
"de correptione et gratia","W2335","A5497"
"de diuersis quaestionibus octoginta tribus","W2331","A5497"
"de bono uiduitatis","W2337","A5497"
"vita beati antonii abbatis","W3746","A5507"
"symbolum quicumque","W3716","A5507"
"commentum terentii: adelphoe","W2065","A5426"
"aduersus nationes","W153","A5479"
"de controuersiis agrorum","W445","A5421"
"epistola ad parthenium","W1245","A5471"
"epistola aratoris ad florianum","W1253","A5471"
"epistolae duae anastasio perperam attributae","W1992","A5462"
"epistolae et decreta","W1955","A5462"
"epistola anastasii romanae urbis episcopi ad joannem hierosolymorum episcopum","W1987","A5462"
"commentum terentii: andria","W2034","A5426"
"commentum terentii: eunuchus","W5032","A5426"
"commentum terentii: hecyra","W2082","A5426"
"commentum terentii: phormio","W2055","A5426"
