Title,DLL Identifier,VIAF Source
"Isaeus, approximately 420 B.C.-approximately 350 B.C.",A3195,http://viaf.org/viaf/265571975
"Marinus, active 5th century",A3162,http://viaf.org/viaf/20477796
"Nicephorus, Chartophylax",A3204,http://viaf.org/viaf/100905484
"Symeon, Metaphrastes, active 10th century",A3165,http://viaf.org/viaf/273004808
"Helenius Acro, active 2nd century",A3146,http://viaf.org/viaf/56520068
"Balbus, Lucius Cornelius",A3142,http://viaf.org/viaf/43312394
"Charlemagne, Emperor, 742-814",A3139,http://viaf.org/viaf/89643029
Petrus Referendarius 5th or 5th/6th century,A3144,http://viaf.org/viaf/54536929
"Aurunculeius Cotta, Lucius -v53",A3141,http://viaf.org/viaf/64395449
"Knöll, Pius",A3207,https://viaf.org/viaf/71379859
Horatius Romanus,A3205,https://viaf.org/viaf/27457993
"Pohlenz, M. (Max), 1872-1962",A3202,https://viaf.org/viaf/2515760
"Pausanias, active approximately 150-175",A3201,https://viaf.org/viaf/77132959
"Fickelscherer, Martin",A3198,https://viaf.org/viaf/82763879
"Lydus, Johannes Laurentius, 490-approximately 565",A3199,https://viaf.org/viaf/109213110
"Rossbach, Otto, 1858-1931",A3185,https://viaf.org/viaf/9938224
"Lapide, Cornelius Cornelii a, 1567-1637",A3183,https://viaf.org/viaf/10186501
"Beughem, Cornelis à, active 1678-1710",A3190,https://viaf.org/viaf/170574972
"Fierville, Ch. (Charles), 1833-",A3180,https://viaf.org/viaf/7439684
"Thomas, Antoine, 1644-1709",A3188,https://viaf.org/viaf/76306275
"Viñals Rubio, Marcos, 1812-1895",A3171,https://viaf.org/viaf/77146094147200330073
"Nys, Ernest, 1851-1920",A3178,https://viaf.org/viaf/19749556
"Bate, John Pawley, 1857-1921",A3186,https://viaf.org/viaf/61664445
"Wright, Herbert F. (Herbert Francis), 1892-1945",A3169,https://viaf.org/viaf/120155412
"Tonson, Jacob, 1656?-1736",A3182,https://viaf.org/viaf/330654
"Rymer, Thomas, 1641-1713",A3189,https://viaf.org/viaf/1146634308841930849
"Souter, Alexander, 1873-1949",A3179,https://viaf.org/viaf/1159
"Vosgien, 1709-1765",A3187,https://viaf.org/viaf/61587993
"Fonseca, Antonio, 1517-1559?",A3170,https://viaf.org/viaf/61578489
"Riley, Henry T. (Henry Thomas), 1816-1878",A3184,https://viaf.org/viaf/34556234
"Serenus, Antinoensis",A3181,http://viaf.org/viaf/12391352
"Callistratus, active 3rd century-4th century",A3193,http://viaf.org/viaf/100211931
"Bremer, F. P. (Franz Peter), 1832-",A3213,https://viaf.org/viaf/108605319
"Sáenz de Aguirre, José, 1630-1699",A3214,https://viaf.org/viaf/66535964
"Holmes, George, 1662-1749",A3215,https://viaf.org/viaf/69045071
"Caecilius, Calactinus",A3191,http://viaf.org/viaf/100219557
"Julian, Emperor of Rome, 331-363",A3192,http://viaf.org/viaf/57406701
"Andocides, approximately 440 B.C.-approximately 390 B.C.",A3194,http://viaf.org/viaf/110155699
"Drosihn, Friedrich, -1871",A3238,https://viaf.org/viaf/281991969
"Peerlkamp, Petrus Hofman, 1786-1865",A3237,https://viaf.org/viaf/59826654
