"author","deterministic_author"
"Campanella, Tommaso, 1568-1639","{'authorized_name': 'campanella, tommaso, 1568-1639', 'author_id': 'A4235'}"
"Campanella, Tommaso, 1568-1639.","{'authorized_name': 'campanella, tommaso, 1568-1639', 'author_id': 'A4235'}"
"Campano, Giannantonio, Bishop, 1429-1477.","{'authorized_name': 'campano, giannantonio, bishop, 1429-1477', 'author_id': 'A3029'}"
"Campion, Thomas, 1567-1620.","{'authorized_name': 'campion, thomas', 'author_id': 'A5559'}"
"Cano, Melchor, 1509?-1560.","{'authorized_name': 'cano, melchor, 1509?-1560', 'author_id': 'A4265'}"
"Canonieri, Pietro Andrea, -1639.","{'authorized_name': 'canonieri, pietro andrea, -1639', 'author_id': 'A4066'}"
"Cardano, Gerolamo, 1501-1576.","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}"
"Cardano, Girolamo, 1501-1576","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}"
"Cardano, Girolamo, 1501-1576.","{'authorized_name': 'cardano, girolamo, 1501-1576', 'author_id': 'A5596'}"
"Carrion, Louis, 1547-1595.","{'authorized_name': 'carrion, louis, 1547-1595', 'author_id': 'A6008'}"
"Casaubon, Isaac, 1559-1614.","{'authorized_name': 'casaubon, isaac, 1559-1614', 'author_id': 'A4057'}"
"Cassiodorus, Senator, ca. 487-ca. 580","{'authorized_name': 'cassiodorus, senator', 'author_id': 'A5508'}"
"Cassiodorus, Senator, ca. 487-ca. 580.","{'authorized_name': 'cassiodorus, senator', 'author_id': 'A5508'}"
"Cassius Felix","{'authorized_name': 'cassius felix', 'author_id': 'A5412'}"
"Castiglione, Baldassarre, conte, 1478-1529.","{'authorized_name': 'castiglione, baldassarre, conte, 1478-1529', 'author_id': 'A5614'}"
"Catallus, Gaius Valerius.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}"
"Cato, Marcus Porcius, 234 B.C.-149 B.C.","{'authorized_name': 'cato, marcus porcius', 'author_id': 'A4678'}"
"Catullus, Valerius.","{'authorized_name': 'catullus, gaius valerius', 'author_id': 'A5237'}"
"Caussin, Nicolas (S.I.), 1583-1651","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}"
"Caussin, Nicolas (S.I.), 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}"
"Caussin, Nicolas, (S.I.), 1583-1651","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}"
"Caussin, Nicolas, (S.I.), 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}"
"Caussin, Nicolas, 1583-1651.","{'authorized_name': 'caussin, nicolas, 1583-1651', 'author_id': 'A4009'}"
"Celso, Aulo Cornelio","{'authorized_name': 'celsus, aulus cornelius', 'author_id': 'A5349'}"
"Celso, Aulo Cornelio.","{'authorized_name': 'celsus, aulus cornelius', 'author_id': 'A5349'}"
"Censorinus.","{'authorized_name': 'censorinus', 'author_id': 'A5390'}"
"Christ, Wilhelm von, 1831-1906.","{'authorized_name': 'christ, wilhelm von, 1831-1906', 'author_id': 'A3552'}"
"Cicero, M. Tullius, 106-43 v. Chr.","{'authorized_name': 'cicero, quintus tullius', 'author_id': 'A4668'}"
"Cicero, Marcus Tullius","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}"
"Cicero, Marcus Tullius, 106-43 B.C. E.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}"
"Cicero, Marcus Tullius.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}"
"Cicerón, Marco Tulio, 106-43 a.C.","{'authorized_name': 'cicero, marcus tullius', 'author_id': 'A5129'}"
"Clark, Albert Curtis, 1859-1937.","{'authorized_name': 'clark, albert curtis, 1859-1937', 'author_id': 'A5977'}"
"Claudianus, Claudius","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}"
"Claudianus, Claudius.","{'authorized_name': 'claudianus, claudius', 'author_id': 'A4503'}"
"Cochlaeus, Johannes, 1479-1552","{'authorized_name': 'cochlaeus, johannes, 1479-1552', 'author_id': 'A4316'}"
"Cochlaeus, Johannes, 1479-1552.","{'authorized_name': 'cochlaeus, johannes, 1479-1552', 'author_id': 'A4316'}"
"Colet, John, 1467?-1519.","{'authorized_name': 'colet, john, 1467?-1519', 'author_id': 'A5625'}"
"Columella, Lucius Junius Moderatus","{'authorized_name': 'columella, lucius junius moderatus', 'author_id': 'A5056'}"
"Columella, Lucius Junius Moderatus.","{'authorized_name': 'columella, lucius junius moderatus', 'author_id': 'A5056'}"
"Commodianus","{'authorized_name': 'commodianus', 'author_id': 'A5248'}"
"Commodianus.","{'authorized_name': 'commodianus', 'author_id': 'A5248'}"
"Copernicus, Nicolaus, 1473-1543","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}"
"Copernicus, Nicolaus, 1473-1543.","{'authorized_name': 'copernicus, nicolaus, 1473-1543', 'author_id': 'A4141'}"
"Cornarius, Ianus","{'authorized_name': 'cornarius, janus, 1500-1558', 'author_id': 'A4007'}"
"Cortesi, Paolo, 1465-1510.","{'authorized_name': 'cortesi, paolo, 1465-1510', 'author_id': 'A4046'}"
"Cowley, Abraham, 1618-1667","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}"
"Cowley, Abraham, 1618-1667.","{'authorized_name': 'cowley, abraham, 1618-1667', 'author_id': 'A4034'}"
"Crotto, Giovanni.","{'authorized_name': 'cotta, giovanni', 'author_id': 'A5549'}"
"Cunaeus, Petrus, 1586-1638.","{'authorized_name': 'cunaeus, petrus, 1586-1638', 'author_id': 'A4030'}"
"Cunich, Raimondo, 1719-1794.","{'authorized_name': 'cunich, raimondo, 1719-1794', 'author_id': 'A4187'}"
"Curtius Rufus, Quintus","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}"
"Curtius Rufus, Quintus,","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}"
"Curtius Rufus, Quintus.","{'authorized_name': 'curtius rufus, quintus', 'author_id': 'A4602'}"
"Cyprianus Gallus, active 5th century,","{'authorized_name': 'cyprianus gallus', 'author_id': 'A4537'}"
"César, Cayo Julio, 100-44 a.C.","{'authorized_name': 'caesar, julius', 'author_id': 'A4644'}"
"Dante Alighieri, 1265-1321","{'authorized_name': 'dante alighieri, 1265-1321', 'author_id': 'A4646'}"
"Dante Alighieri, 1265-1321.","{'authorized_name': 'dante alighieri, 1265-1321', 'author_id': 'A4646'}"
"De Vio, Tommaso, 1469-1534","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}"
"De Vio, Tommaso, 1469-1534.","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}"
"De Vío, Tommaso, 1469-1534","{'authorized_name': 'cajetan, tommaso de vio, 1469-1534', 'author_id': 'A4256'}"
"Decembrio, Angelo, approximately 1415-1462.","{'authorized_name': 'decembrio, angelo, approximately 1415-1462', 'author_id': 'A4017'}"
"Defensor de Ligugé","{'authorized_name': 'defensor', 'author_id': 'A4474'}"
"Descartes, René, 1596-1650.","{'authorized_name': 'descartes, rené', 'author_id': 'A4762'}"
"Duns Scotus, John, approximately 1266-1308","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}"
"Duns Scotus, John, approximately 1266-1308.","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}"
"Duns Scotus, John, ca. 1266-1308.","{'authorized_name': 'duns scotus, john, approximately 1266-1308', 'author_id': 'A5593'}"
"Dupuy, Jacques, 1591-1656.","{'authorized_name': 'dupuy, jacques, 1591-1656', 'author_id': 'A3996'}"
