"author","title","tokenized_title","matched_title_deterministic","matched_title_fuzzy","fuzzy_title_score"
"Livy","T. Livii Patavini Historiarum ab urbe condita libri qui supersunt XXXV. Recensuit, & notis ad usum scholarum accomodatis illustravit J.B.L. Crevier ...","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'xxxv', 'recenseo', 'nosco', 'usus', 'schola', 'accomodo', 'illustro', '']","Unknown","ab urbe condita","1.0"
"Livy","Historiarum ab urbe condita libri qui supersunt, cum omnium epitomis ac deperditorum fragmentis: ad optimas editiones castigati, accurante Thoma Ruddimanno.","['historia', 'urbs', 'condo', 'supersum', 'omnis', 'epitome', 'deperdo', 'fragmentum', 'optimas', 'editio', 'castigo', 'accuro', 'thoma', 'ruddimannus']","Unknown","ab urbe condita","1.0"
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri vi. Ad optimorum librorum fidem accurate editi. Accedit varietas lectionis et index latinitatis.","['titus', 'lucretium', 'carus', 'res', 'natura', 'uis', 'optimus', 'fides', 'accurate', 'edo', 'accedo', 'uarietas', 'lectio', 'index', 'latinitas']","Unknown","de rerum natura","0.8888888888888888"
"Lucretius Carus, Titus","[T. Lucretii Cari] De rerum natura libri sex. Cum argumentis Mich.du Fay & castigationibus Tanaq.Fabri. Accurante Val.Pect.","['lucretium', 'co', 'res', 'natura', 'argumentum', 'fay', 'castigatio', 'accuro']","Unknown","de rerum natura","0.8888888888888888"
"Livy","... Historiarum ab urbe condita libri qui supersunt, cum omnium epitomis, ac deperditorum fragmentis: ad optimas editiones castigati, accurante Tho. Ruddimanno.","['historia', 'urbs', 'condo', 'supersum', 'omnis', 'epitome', 'deperdo', 'fragmentum', 'optimas', 'editio', 'castigo', 'accuro', 'thos', 'ruddimannus']","Unknown","ab urbe condita","1.0"
"Livy","Titi Livi Ab urbe condita libri. Ed. primam curavit Giulelmus Weissenborn. Ed. altera, quam curavit Mauritius Müller ...","['titus', 'liuus', 'urbs', 'condo', '', 'primus', 'curo', '', '', '', 'alter', 'curo', 'mauritius', '']","Unknown","ab urbe condita","0.8888888888888888"
"Livy","Ab urbe condita libri XXI et XXII. Mit anmerkungen von ... Ernest Wilhelm Fabri ... Neu bearbeitet von ... Heinrich Wilhelm Heerwagen ...","['urbs', 'condo', 'xxi', 'xxiim', 'mo', 'anmerkunge', 'uon', 'ernsum', '', 'faber', 'neu', 'bearbeito', 'uon', '', '', 'heerwage']","Unknown","ab urbe condita","0.8888888888888888"
"Livy","Historiarum ab urbe condita liber XXIII et XXIV. Recognovit et commentariis scholarum in usum instruxit Ernestus Guilielmus Fabri.","['historia', 'urbs', 'condo', 'xxiii', 'xxiv', 'recognosco', 'commentarius', 'schola', 'usus', 'instruo', 'ernestus', '', 'faber']","Unknown","ab urbe condita","1.0"
"Cicero, Marcus Tullius","M. Tullii Ciceronis De natura deorum libri tres. : Cum notis integris Paulli Manucii, Petri Victorii, Joachimi Camerarii, Dionys. Lambini, et Fulv. Ursini. / Recensuit, suisque animadversionibus illustravit ac emaculavit Joannes Davisius ... ; Accedunt emendationes cl. Joannis Walkeri ...","['tullium', 'cicero', 'natura', 'deus', 'tres', 'nosco', 'integer', 'paullum', 'manucius', 'peter', 'uictorius', 'joachimus', 'camerarius', 'dionyss', '', 'fulv', '', 'recenseo', 'que', 'animaduersio', 'illustro', 'emaculo', 'joannes', 'davise', 'accedo', 'emendatio', 'cl', 'joan', 'walkeror']","Unknown","de natura deorum","0.896551724137931"
"Livy","Historiarum ab urbe condita : libri, qui supersunt, omnes / cum notis integris Laur. Vallae, ... [et al.] ; excerptis Petr. Nannii, ... [et al.] ; nec non inedites Jani Gebhardi, Car. and Dukeri & aliorum ; curante Arn. Drakenborch, qui & suas adnotationes adjecit. Accedunt supplementa deperditorum T. Livii Librorum a Joh. Freinshemio concinnata.","['historia', 'urbs', 'condo', 'supersum', 'omnis', 'nosco', 'integer', 'laurio', 'ualla', 'alc', 'excerpo', 'petro', 'nannius', 'alc', 'inedis', 'janus', 'gebhardus', 'car', '', 'duker', 'alius', 'curo', 'arn', 'drakenborchs', 'adnotatio', 'adiicio', 'accedo', 'supplementum', 'deperdo', 'liuii', 'joh', 'freinshemium', 'concinno']","Unknown","ab urbe condita","1.0"
