author,title,matched_title_fuzzy,fuzzy_title_score,correct
"Cicero, Marcus Tullius.","M. Tullii Ciceronis De natura deorum libri tres. Cum notis integris Paulli Manucii, Petri Victorii, Joachimi Camerarii ... Recensuit, suisque animadversionibus illustravit ac emaculavit Joannes Davisius.",de natura deorum,0.896551724137931,yes
"Cicero, Marcus Tullius.","M. Tullii Ciceronis De natura deorum libri tres, with introduction and commentary, by Joseph B. Mayor, M.A.  Together with a new collation of several of the English mss. by J. H. Swainson.",de natura deorum,0.896551724137931,yes
"Cicero, Marcus Tullius.","M. Tulli Ciceronis De natura deorum : libri tres. Cum notis integris Paul Manucii, Pet. Victorii, Jo. Camerarii, Dion. Lambini, Fulv. Ursini, Joan. Walkeri / Recensuit, suisque animadversionibus illustravit ac emaculavit Joannes Davisius.",de natura deorum,0.896551724137931,yes
"Cicero, Marcus Tullius.","M. Tullii Ciceronis De natura deorum libri tres, with the commentary of G. F. Schoemann, translated and edited by Austin Stickney.",de natura deorum,0.896551724137931,yes
"Cicero, Marcus Tullius.",De natura deorum libri tres / M. Tullii Ciceronis ; with the commentary of G. F. Schoemann translated and edited by Austin Stickney.,de natura deorum,0.896551724137931,yes
Livy,T. Livii Ab urbe condita liber tricesimus tertius ... / ... editit et adnotationem criticam adiecit Ioannes Theophilus Kreyssig.,ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus",De rerum natura libri sex / ex editione Gilberti Wakefieldi cum notis et interpretatione in usum Delphini variis lectionibus notis variorum recensu editionum et codicum et indice locupletissimo accurate recensiti.,de rerum natura,0.888888888888889,yes
"Lucretius Carus, Titus","T. Lucreti Cari, De rerum natura libri sex, ex editione Gilberti Wakefieldi, cum notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum et indice locupletissimo accurate recensiti.",de rerum natura,0.888888888888889,yes
Livy,Titi Livii Ab urbe condita liber XXI / Nach Text und Kommentar getrennte ausg. für den Schulgebrauch von Franz Luterbacher ...,ab urbe condita,0.888888888888889,yes
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri sex cum selectis optimorum interpretum adnotationibus, quibus suas adjecit P. Aug. Lemaire ...",de rerum natura,0.888888888888889,yes
Vitruvius Pollio.,"M. Vitrvvii De architectura libri decem : summa diligentia recogniti atq; excusi : cum nonnullis figuris sub hoc signo * positis, nunq̃ antea impraessis : additis Iulij Frontini De aqueductibus libris, proter materiae affinitatem.",de architectura,0.888888888888889,yes
