Name 1,Candidate Match 1,Match 1 Probability,Candidate Match 2,Match 2 Probability,Candidate Match 3,Match 3 Probability,Candidate Match 4,Match 4 Probability,Candidate Match 5,Match 5 Probability,Candidate Match 6,Match 6 Probability,Candidate Match 7,Match 7 Probability,Candidate Match 8,Match 8 Probability,Candidate Match 9,Match 9 Probability
"Gerloff, Iohannes, 1887-","Gerloff, Johann, 1887-",91.30434782608697
"Goering, A. [from old catalog]","Wodrig, Albert. [from old catalog]",84.375,"Weidgen, J. [from old catalog]",83.33333333333334,"Ilberg, Hugo. [from old catalog]",80.64516129032258
"González y Diaz Tuñón, Ceferino, Cardinal, 1831-1894","González y Díaz Tuñón, Ceferino, 1831-1894",89.10891089108911
"Gouthière, Jacques, 1568-1638","Goutière, Jacques, 1568-1638",93.10344827586206
"Göring, A","Göring, August",80.0
"Graaf, Regnier de, 1641-1673","Graaf, Reinier de, 1641-1673",96.42857142857143
"Grati, Girolamo","Maggi, Girolamo",80.0
"Graziani, Antonio","Guainerio, Antonio",80.0
Great Britain. King's Wardrobe,Great Britain. King's wardrobe,96.66666666666667
"Gregoire, Pierre, 1540-1617","Grégoire, Pierre, 1540-1617",98.18181818181819,"Grégoire, Pierre, 1540-1617",96.2962962962963
"Gregorius, Abp. of Corinth, fl. ca. 1200","Gregorius, abp. of Corinth, fl ca 1200",84.61538461538461
"Gribaldi, Matteo","Gribaldi, Matteo, -1564",82.05128205128204
"Gunther, Antonio"
"Gutierrez, Juan","Gutiérrez, Juan",93.33333333333333
"Gómez, Antonio","Gómez, Antonio, s.16",82.35294117647058
"Haen, Anton von, 1704-1776","Haën, Anton Von, 1704-1776",92.3076923076923
"Haubold, Christian Gottlieb","Haubold, Christian Gottlieb, 1766-1824",83.07692307692307
"Häussner, J. 1850-","Häussner, J. b. 1850",90.0
"Heineccius, Johann Gottlieb, 1681-1741","Heinecke, Johann Gottlieb, 1681-1741",91.89189189189189
"Heriodianus, active 3 century","Herodianus, Aelius, active 2nd century",80.59701492537313
"Hermogenes, 2nd cent","Hermogenes, active 2nd century",80.0
"Hernandez, Francisco, (1517-1587)","Hernández, Francisco, 1517-1587",95.38461538461537,"Hernández, Francisco, 1517-1587",93.75
"Hierocles, of Alexandria, active 430","Hierocles, of Alexandria, fl. 430",86.95652173913044
"Hilary, Saint, Bishop of Poitiers, -367?","Hilary, Saint, Bishop of Poitiers, d. 367?",95.1219512195122
"Hoegg, Franz Xaver","Hoegg, Franz Xavier",97.2972972972973
"Hoffmann, Karl","Hofmann, Kaspar",82.75862068965517
"Holkot, Robert (O.P.)","Holkot, Robert (O.P.), m. 1349",82.35294117647058
"Hontheim, Johann Nikolaus von","Hontheim, Johann Nikolaus von, 1701-1790",84.05797101449275
"Horacio Flaco, Quinto, 65-8 a. C","Horacio Flaco, Quinto, 65-8 a.C",95.23809523809523
"Ibn al-Wardī, Zayn al-Dīn ʻUmar ibn al-Muẓaffar, d. 1349","Ibn al-Wardī, Zayn al-Dīn ʻUmar ibn al-Muẓaffar, -1349",88.49557522123894
Iglesia Católica. Papa (1740-1758 : Benedicto XIV),Iglesia Católica. Papa (1740-1758: Benedicto XIV),98.98989898989899,Iglesia católica. Papa (1740-1758 : Benedicto XIV),80.0
"Imruʼ al-Qays, 497-545","Imruʾ al-Qays, 497-545",95.45454545454545
"Īshō y̐abh III, Patriarch of the Nestorians, -657 or 658","Īshō y̐abh III, Patriarch of the Nestorians, d. 657 or 8",94.82758620689656
"Joannes, Monachus, active 10th century?","Vaudus, Joannes, active 16th century",85.33333333333333
"Jones, William, 1746-1794","Jones, William, Sir, 1746-1794",90.9090909090909
"Jonsius, Joannes, 1624-1659","Jonstonus, Joannes, 1603-1675",82.14285714285714
"Jonston, Jan, 1603-1675"
"Jordanus, Nemorarius, 13th cent","Jordanus, Nemorarius, active 13th century",86.11111111111111
"Jung, Johann Heinrich, 1715-1799","Majus, Johann Heinrich, 1635-1719",80.0
"Junius, Franciscus (1591-1677)","Junius, Franciscus, 1589-1677",91.52542372881356
"Jüttner, Hugo, 1871-","Jüttner, Hugo, b. 1871",90.9090909090909
"Kholodni͡ak, I. I. 1857-1913","Kholodni︠a︡k, I. I. 1857-",86.79245283018868
"Kleinguenther, Hermann, 1865-","Kleinguenther, Hermannus, 1865-",96.66666666666667
"Koecher, Joannes Christophorus","Struchtmeyer, Johannes Christophorus",81.81818181818181
"Konigsdorfer, Isidor, 1877-","Königsdorfer, Isidor",83.33333333333334
"Köphler, Johann David, 1684-1755","Köhler, Johann David, 1684-1755",93.75
"Krahner, Leopold Heinrich","Krahner, Leopold Heinrich, 1810-1884",81.9672131147541
"Kromer, Marcin, 1512-1589","Kromer, Martin, 1512-1589",96.0
"Kuhlmann, Hermann","Neumann, Hermann",84.84848484848484
"Kühnöl, Christian Gottlieb, 1768-1841","Kühnöl, Christian Gottlieb, 1768-1841",92.10526315789474
"Labbe, Philippe (S.I), 1607-1667","Labbe, Philippe, 1607-1667",86.20689655172413
"Laderchi, Giovanni Battista","Mazini, Giovanni Battista",80.76923076923077
"Laet, Joannes de, 1581-1649","Laet, Joannes de, 1593-1649",92.5925925925926,"Laet, Johannes de, 1593-1649",90.9090909090909
"Lahmeyer, Ludwig","Lahmeyer, Ludwig, 1855-",82.05128205128204
"Lambert, von Hersfeld, -1088?","Lambert, von Hersfeld, d. 1088?",93.33333333333333
"Lancellotti, Giovanni Paolo, 1511-1591","Lancellotti, Giovanni Paolo, 1522-1590",92.10526315789474,"Lancelotti, Giovanni Paolo",81.25
"Lancisi, Giovanni Maria 1654-1720","Lancisi, Giovanni Maria, 1654-1720",98.50746268656717
"Lauer, Julius Franz, 1819-","Lauer, Julius Franz, 1819-1850",92.85714285714286
"Lemnius, Levinus 1503-1568","Lemnius, Levinus, 1503-1568",98.11320754716981,"Lemnius, Levinus, 1505-1568",94.33962264150944
"Lens, Jean de","Renou, Jean de",81.4814814814815
"Libavius, Andreas"
"Liers, Hugo, 1855-","Reiter, Hugo, 1858-",81.08108108108108
"Livio, Tito,  ca. 60-17 a. C","Livio, Tito, ca. 60-17 a. C",100.0
"Loercher, Adolf, 1878-","Lörcher, Adolf, 1878-",93.02325581395348,"Loercher, Adolphus, 1878-",89.36170212765957
"Lucas, Theodor","Lucas, Theodore",96.55172413793103
Luis de Granada (O. P.) 1504-1588,Luis de Granada (O.P.) 1504-1588,89.23076923076923,"Luis de Granada, (O.P.), 1504-1588",86.56716417910448
"Lübbert, Eduard, 1830-1889","Lübbert, Eduard, 1830-1889",94.33962264150944
"Lynch, Richard (S.I.), 1610-1676","Lynch, Richard (S.I.), 1611-1676",96.875
"Maas, Ernst, 1856-1929","Maass, Ernst, 1856-1929",97.77777777777777
"Mabillon, Jean (O.S.B.), 1632-1707","Mabillon, Jean, 1632-1707",81.35593220338984
"Macé, Alcide","Macé, Alcide",88.0
"Maggi, Girolamo, -1572"
"Maimonides, Moses, 1135-1204","Maimónides, 1135-1204",81.63265306122449
"Majus, Johann Heinrich, 1663-1719"
"Maler, Guilelmo","Maler, Guilelmus",90.32258064516128
Mallius Theodorus,"Mallius, Theodorus",97.14285714285714
"Manardi, Giovanni","Pianeri, Giovanni",82.35294117647058
"Mansi, Giovanni Domenico, 1692-1769","Rinaldi, Giovanni Domenico, 1628-1713",80.55555555555556
"Maratti, Giovanni Francesco","Maratti, Giovanni Francesco, -1777",88.52459016393442,"Scardona, Giovanni Francesco",83.63636363636364,"Pavini, Giovanni Francesco",83.01886792452831,"Saldo, Giovanni Francesco",80.76923076923077
"Marca, Petrus de, 1584-1662","Marca, Pierre de, 1594-1662",85.18518518518519
"Marquardt, Joachim, 1812-1882","Marquardt, Karl Joachim, 1812-1881",88.88888888888889
"Marselaer, Frederich van","Marselaer, Friedrich van",95.83333333333334
"Marselaer, Frederick van, 1584-1670","Marselaer, Frederik van, 1584-1670",98.55072463768117
Martin,Martín,92.3076923076923
"Mascardi, Agostino, 1590-1640"
"Mascolo, Giovanni Battista, 1582-1656","Masculus, Joannes Baptista, 1582-1656",81.08108108108108,"Riccioli, Giovanni Battista, 1598-1671",80.0
"Masculus, Joannes Baptista (S.I.), 1582-1656"
"Massa, Niccolo, 1489-1569","Massa, Niccolò, 1489-1569",98.0392156862745
"Mastrillo, Garzia, 1620","Mastrillo, Garzía, 1620",95.65217391304348
"Masulli, Giovanni Battista","Rossi, Giovanni Battista",84.0
"Matenesio, Johann Friedrich","Matenesius, Johann Friedrich, -1621",83.87096774193549
"Matteucci, Agostino","Steuco, Agostino",80.0
"Matthaeus, Antonius, 1564-1637","Matthaeus, Antonius, 1601-1654",86.66666666666667,"Matthaeus, Antonius, 1635-1710",86.66666666666667
"Mauro, Silvestro (S.I.), 1619-1687","Mauro, Silvestro, (S.I.), 1619-1687",98.55072463768117
"Mechovius, Guilielmus, active 1677","Mechovius, Guilielmus, fl. 1677",86.15384615384616
"Meier, Johannes, 1651 or 2-1725","Meyer, Johannes, 1651 or 1652-1725",92.3076923076923
"Mellmann, Johann Wilhelm Ludwig","Mellmann, Johann Wilhelm Ludwig, 1764-1795",84.93150684931507
"Mello Freire, Paschoal José de, 1738-1798","Mello Freire, Paschoal José de, 1738-1798",96.3855421686747
"Mendoza, Francisco de (S.I.), 1572-1626","Mendoza, Francisco de, (S.I.), 1572-1626",98.73417721518987,"Mendoza, Francisco de, (S.I.)",82.35294117647058,"Oviedo, Francisco de (S.I.), 1602-1651",80.51948051948052
"Menelaus, of Alexandria","Pappus, of Alexandria",81.81818181818181
Miguel de San Agustín (O.C.),"Miguel de San Agustín, (O.C.)",98.24561403508771
"Misset, E","Misset, E.",94.73684210526316
"Moczynski, P","Moczyński, Peter",82.75862068965517
"Moeller, Carolus Rudolfus, 1885-","Moeller, Karl Rudolf, 1885-",88.13559322033898,"Möller, Karl Rudolf, 1885-",84.7457627118644
"Mueller, Maximilian, 1875-","Mueller, Maximilianus, 1875-",96.2962962962963,"Müller, Maximilian, 1875-",96.15384615384616
"Müller, Iwan von, 1830-1917","Müller, Iwan von, 1830-1917",94.54545454545455
"Münster, Sebastian, 1489-1552","Münster, Sebastian, 1488-1552",91.52542372881356
"Natta, Marcus Antonius, -1568","Natta, Marcus Antonius, d. 1568",93.33333333333333
"Nemesius, Bishop of Emesa","Nemesius, Bp. of Emesa",89.36170212765957
"Nickes, Johannes Anselm, 1825-1866","Nickes, Johannes Peter Anselm, 1825-1866",91.89189189189189
"Nopelius, Johannes","Wilmius, Johannes",80.0
"Novotný, František","Novotný, Frantisek",89.47368421052632
"Núñez, Pedro Juan , 1522-1602","Núñez, Pedro Juan, 1522-1602",94.73684210526316
"Orosio, Paulo , n. 390?-m. 418?","Orosio, Paulo, n. 390?-m. 418?",95.08196721311475
"Orzechowski, Stanis  aw Okszych, 1513-1566 or 7","Orzechowski, Stanisław Okszyc, 1513-1566 or 1567",93.61702127659575
"Osório, Jerónimo, 1506-1580","Osório, Jerónimo, 1506-1580",89.28571428571429
"Pachymeres, George, 1242-approximately 1310","Pachymeres, George, 1242-ca. 1310",81.57894736842105
"Pallavicino, Sforza, Cardenal, 1607-1667","Pallavicino, Sforza,, Cardenal,  1607-1667",98.76543209876543
"Panciroli, Guido, 1523-1599","Pancirolli, Guido, 1523-1599",98.18181818181819
"Panvinio, Onofrio, 1529-1568","Panvinio, Onofrio, 1530-1568",92.85714285714286
"Pardo, Jerónimo","Ramiro, Jerónimo",83.87096774193549
"Partenio, Bernardino","Partenio, Bernardino, -1589",85.1063829787234
"Paschal, Carlo, 1547-1625","Pasquali, Carlo, 1547-1626",86.27450980392157
"Passeri, Niccolo, 1585-1615","Passeri, Nicolo, 1585-1615",98.11320754716981
"Patarol, Lorenzo, 1674-1727","Patarolo, Lorenzo, 1674-1757",94.54545454545455
"Patuzzi, Giovanni Vincenzo, (O.P.), 1700-1769","Patuzzi, Giovanni Vincenzo, 1700-1769",90.2439024390244
"Pechlin, Johann Nicolas","Pechlin, Johann Nicolas, 1646-1706",80.70175438596492
"Pedro Cellensis, Obispo de Chartres, m.1183","Petrus Cellensis, Obispo de Chartres",83.54430379746836
"Peinado, Ignacio Francisco (S.I.), 1633-1696","Peinado, Ignacio Francisco, (S.I.), 1633-1696",98.87640449438202
Pelbartus de Temeswar (O.F.M.),Pelbartus de Themeswar (O.F.M.),98.36065573770492
"Pelliccia, Alessio Aurelio","Pelliccia, Alessio Aurelio, 1744-1822",82.53968253968253
"Peltanus, Theodor Anton (S.I.), -1584","Peltanus, Theodor Anton (S.I.), 1511-1584",94.87179487179486
"Pereira, Barth'elemy, 1588-1650","Pereira, Bartholomeu, 1588-1650",87.09677419354838
"Perera, Benito (S.I.), 1536-1610","Perera, Benito, (S.I.), 1536-1610",98.46153846153847
"Perera, Benito, (S.I.)"
"Perez de Lara, Alonso","Pérez de Lara, Alonso",95.23809523809523
"Persyn, Jan van","Persÿn, Jan van",96.7741935483871,"Persyn, Janus Van",87.5
"Petan, Denis, (S.I.), 1583-1652","Petau, Denis, 1583-1652",81.4814814814815
"Pérez, Antonio, 1583-1672","Pérez, Antonio, 1583-1673",96.15384615384616,"Pérez, Antonio, 1583-1672",94.11764705882352
"Pfaff, Carl","Pfaff, Karl",90.9090909090909
